#  energia,    pressao,       nB,         muB,   muBGibbs
864.537850, 188.211278, 0.819958, 1283.906000, 469.977289
864.288012, 187.961440, 0.819958, 1283.296608, 471.860741
864.039292, 187.712720, 0.819958, 1282.689943, 473.762168
863.791690, 187.465118, 0.819958, 1282.086005, 475.681814
863.545206, 187.218634, 0.819958, 1281.484793, 477.619927
863.299839, 186.973267, 0.819958, 1280.886307, 479.576761
863.055591, 186.729019, 0.819958, 1280.290549, 481.552573
862.812460, 186.485888, 0.819958, 1279.697517, 483.547626
862.570447, 186.243875, 0.819958, 1279.107211, 485.562186
862.329552, 186.002980, 0.819958, 1278.519632, 487.596526
862.089775, 185.763203, 0.819958, 1277.934780, 489.650924
861.851115, 185.524543, 0.819958, 1277.352654, 491.725661
861.613574, 185.287002, 0.819958, 1276.773255, 493.821026
861.377150, 185.050578, 0.819958, 1276.196582, 495.937312
861.141844, 184.815272, 0.819958, 1275.622636, 498.074817
860.907656, 184.581084, 0.819958, 1275.051416, 500.233847
860.674586, 184.348014, 0.819958, 1274.482924, 502.414712
860.442634, 184.116062, 0.819958, 1273.917157, 504.617727
860.211799, 183.885227, 0.819958, 1273.354118, 506.843217
859.982083, 183.655510, 0.819958, 1272.793804, 509.091509
859.753484, 183.426912, 0.819958, 1272.236218, 511.362939
859.526003, 183.199431, 0.819958, 1271.681358, 513.657849
859.299640, 182.973068, 0.819958, 1271.129225, 515.976588
859.074395, 182.747822, 0.819958, 1270.579818, 518.319511
858.850267, 182.523695, 0.819958, 1270.033138, 520.686981
858.627258, 182.300685, 0.819958, 1269.489184, 523.079368
858.405366, 182.078793, 0.819958, 1268.947957, 525.497050
858.184592, 181.858020, 0.819958, 1268.409456, 527.940412
857.964936, 181.638364, 0.819958, 1267.873683, 530.409847
857.746398, 181.419825, 0.819958, 1267.340635, 532.905755
857.528977, 181.202405, 0.819958, 1266.810315, 535.428547
857.312675, 180.986102, 0.819958, 1266.282720, 537.978641
857.097490, 180.770918, 0.819958, 1265.757853, 540.556462
856.883423, 180.556851, 0.819958, 1265.235712, 543.162447
856.670474, 180.343902, 0.819958, 1264.716298, 545.797040
856.458643, 180.132071, 0.819958, 1264.199610, 548.460695
856.247930, 179.921357, 0.819958, 1263.685649, 551.153876
856.038334, 179.711762, 0.819958, 1263.174414, 553.877057
855.829857, 179.503284, 0.819958, 1262.665906, 556.630721
855.622497, 179.295924, 0.819958, 1262.160125, 559.415363
855.416255, 179.089682, 0.819958, 1261.657070, 562.231488
855.211131, 178.884558, 0.819958, 1261.156742, 565.079611
855.007124, 178.680552, 0.819958, 1260.659140, 567.960262
854.804236, 178.477664, 0.819958, 1260.164265, 570.873978
854.602465, 178.275893, 0.819958, 1259.672116, 573.821310
854.401813, 178.075240, 0.819958, 1259.182694, 576.802823
854.202278, 177.875705, 0.819958, 1258.695999, 579.819092
854.003861, 177.677288, 0.819958, 1258.212030, 582.870706
853.806561, 177.479989, 0.819958, 1257.730788, 585.958267
853.610380, 177.283808, 0.819958, 1257.252272, 589.082393
853.415317, 177.088744, 0.819958, 1256.776483, 592.243713
853.221371, 176.894799, 0.819958, 1256.303421, 595.442873
853.028543, 176.701971, 0.819958, 1255.833085, 598.680531
852.836833, 176.510261, 0.819958, 1255.365476, 601.957365
852.646241, 176.319669, 0.819958, 1254.900593, 605.274064
852.456767, 176.130194, 0.819958, 1254.438437, 608.631338
852.268410, 175.941838, 0.819958, 1253.979008, 612.029910
852.081172, 175.754599, 0.819958, 1253.522305, 615.470521
851.895051, 175.568478, 0.819958, 1253.068328, 618.953933
851.710048, 175.383476, 0.819958, 1252.617079, 622.480923
851.526163, 175.199590, 0.819958, 1252.168555, 626.052288
851.343395, 175.016823, 0.819958, 1251.722759, 629.668846
851.161746, 174.835174, 0.819958, 1251.279689, 633.331432
850.981214, 174.654642, 0.819958, 1250.839346, 637.040905
850.801801, 174.475228, 0.819958, 1250.401729, 640.798143
850.623505, 174.296933, 0.819958, 1249.966838, 644.604049
850.446327, 174.119754, 0.819958, 1249.534675, 648.459545
850.270267, 173.943694, 0.819958, 1249.105238, 652.365580
850.095324, 173.768752, 0.819958, 1248.678527, 656.323126
849.921500, 173.594927, 0.819958, 1248.254543, 660.333179
849.748793, 173.422221, 0.819958, 1247.833286, 664.396762
849.577204, 173.250632, 0.819958, 1247.414755, 668.514926
849.406733, 173.080161, 0.819958, 1246.998951, 672.688746
849.237380, 172.910808, 0.819958, 1246.585874, 676.919330
849.069145, 172.742572, 0.819958, 1246.175523, 681.207811
848.902027, 172.575455, 0.819958, 1245.767898, 685.555357
848.736028, 172.409455, 0.819958, 1245.363000, 689.963164
848.571146, 172.244574, 0.819958, 1244.960829, 694.432462
848.407382, 172.080810, 0.819958, 1244.561385, 698.964515
848.244736, 171.918164, 0.819958, 1244.164666, 703.560620
848.083208, 171.756635, 0.819958, 1243.770675, 708.222113
847.922797, 171.596225, 0.819958, 1243.379410, 712.950365
847.763505, 171.436932, 0.819958, 1242.990872, 717.746787
847.605330, 171.278758, 0.819958, 1242.605060, 722.612828
847.448273, 171.121701, 0.819958, 1242.221975, 727.549981
847.292334, 170.965762, 0.819958, 1241.841616, 732.559781
847.137513, 170.810941, 0.819958, 1241.463984, 737.643807
846.983809, 170.657237, 0.819958, 1241.089079, 742.803684
846.831224, 170.504652, 0.819958, 1240.716900, 748.041085
846.679756, 170.353184, 0.819958, 1240.347448, 753.357734
846.529406, 170.202834, 0.819958, 1239.980722, 758.755403
846.380174, 170.053602, 0.819958, 1239.616723, 764.235922
846.232060, 169.905488, 0.819958, 1239.255451, 769.801173
846.085064, 169.758492, 0.819958, 1238.896905, 775.453096
845.939186, 169.612613, 0.819958, 1238.541086, 781.193691
845.794425, 169.467853, 0.819958, 1238.187993, 787.025021
845.650782, 169.324210, 0.819958, 1237.837627, 792.949213
845.508257, 169.181685, 0.819958, 1237.489987, 798.968459
845.366850, 169.040278, 0.819958, 1237.145075, 805.085022
845.226561, 168.899989, 0.819958, 1236.802888, 811.301240
845.087390, 168.760817, 0.819958, 1236.463428, 817.619522
844.949336, 168.622764, 0.819958, 1236.126695, 824.042358
844.812400, 168.485828, 0.819958, 1235.792689, 830.572318
844.676582, 168.350010, 0.819958, 1235.461409, 837.212060
844.541882, 168.215310, 0.819958, 1235.132855, 843.964327
844.408300, 168.081728, 0.819958, 1234.807028, 850.831956
844.275836, 167.949264, 0.819958, 1234.483928, 857.817881
844.144489, 167.817917, 0.819958, 1234.163554, 864.925134
844.014261, 167.687688, 0.819958, 1233.845907, 872.156853
843.885150, 167.558578, 0.819958, 1233.530987, 879.516285
843.757157, 167.430585, 0.819958, 1233.218793, 887.006791
843.630282, 167.303710, 0.819958, 1232.909325, 894.631851
843.504525, 167.177952, 0.819958, 1232.602585, 902.395069
843.379885, 167.053313, 0.819958, 1232.298570, 910.300178
843.256363, 166.929791, 0.819958, 1231.997283, 918.351050
843.133960, 166.807387, 0.819958, 1231.698722, 926.551695
843.012674, 166.686102, 0.819958, 1231.402887, 934.906273
842.892506, 166.565933, 0.819958, 1231.109780, 943.419102
842.773455, 166.446883, 0.819958, 1230.819398, 952.094659
842.655523, 166.328951, 0.819958, 1230.531744, 960.937594
842.538709, 166.212136, 0.819958, 1230.246816, 969.952735
842.423012, 166.096440, 0.819958, 1229.964614, 979.145098
842.308433, 165.981861, 0.819958, 1229.685139, 988.519896
842.194972, 165.868400, 0.819958, 1229.408391, 998.082546
842.082629, 165.756057, 0.819958, 1229.134369, 1007.838685
841.971403, 165.644831, 0.819958, 1228.863074, 1017.794176
841.861296, 165.534724, 0.819958, 1228.594505, 1027.955122
841.752306, 165.425734, 0.819958, 1228.328663, 1038.327877
841.644435, 165.317862, 0.819958, 1228.065548, 1048.919059
841.537681, 165.211108, 0.819958, 1227.805159, 1059.735567
841.432044, 165.105472, 0.819958, 1227.547497, 1070.784592
841.327526, 165.000954, 0.819958, 1227.292561, 1082.073634
841.224126, 164.897553, 0.819958, 1227.040352, 1093.610521
841.121843, 164.795271, 0.819958, 1226.790870, 1105.403422
841.020678, 164.694106, 0.819958, 1226.544114, 1117.460872
840.920631, 164.594059, 0.819958, 1226.300084, 1129.791787
840.821702, 164.495130, 0.819958, 1226.058782, 1142.405491
840.723891, 164.397319, 0.819958, 1225.820206, 1155.311736
840.627198, 164.300626, 0.819958, 1225.584356, 1168.520725
840.531622, 164.205050, 0.819958, 1225.351233, 1182.043144
840.437165, 164.110592, 0.819958, 1225.120837, 1195.890187
840.343825, 164.017252, 0.819958, 1224.893167, 1210.073587
840.251603, 163.925030, 0.819958, 1224.668224, 1224.605650
840.160499, 163.833926, 0.819958, 1224.446007, 1239.499290
815.856819, 156.028148, 0.799959, 1214.918167, 1214.856208
803.732933, 152.106279, 0.789960, 1209.984703, 1209.923054
791.658580, 148.202314, 0.779960, 1205.011201, 1204.949864
791.571947, 148.115681, 0.779960, 1204.789054, 1220.373543
791.486432, 148.030166, 0.779960, 1204.569774, 1236.206050
791.402035, 147.945769, 0.779960, 1204.353360, 1252.463739
791.318756, 147.862490, 0.779960, 1204.139812, 1269.163845
791.236594, 147.780328, 0.779960, 1203.929131, 1286.324551
720.275907, 125.162825, 0.719964, 1174.279836, 1174.220461
708.560100, 121.388416, 0.709964, 1169.000618, 1168.941571
696.897320, 117.633161, 0.699965, 1163.673687, 1163.614973
696.819630, 117.555471, 0.699965, 1163.451704, 1180.253769
696.743058, 117.478899, 0.699965, 1163.232916, 1197.385230
696.667603, 117.403444, 0.699965, 1163.017321, 1215.031414
696.593267, 117.329108, 0.699965, 1162.804920, 1233.215719
696.520048, 117.255889, 0.699965, 1162.595713, 1251.962980
628.062082, 95.513888, 0.639968, 1130.644065, 1130.587454
616.784672, 91.897809, 0.629968, 1124.949089, 1124.892827
605.564498, 88.302396, 0.619969, 1119.196060, 1119.140152
605.495751, 88.233649, 0.619969, 1118.974284, 1137.261311
605.428121, 88.166019, 0.619969, 1118.756113, 1155.990234
605.361610, 88.099508, 0.619969, 1118.541549, 1175.357826
605.296216, 88.034114, 0.619969, 1118.330591, 1195.397120
550.319732, 70.635385, 0.569950, 1089.490647, 1089.394942
539.453960, 67.168010, 0.559949, 1083.353068, 1083.253517
528.652463, 63.723737, 0.549950, 1077.146487, 1077.047636
517.915966, 60.302826, 0.539953, 1070.868878, 1070.775542
507.239978, 56.903869, 0.529954, 1064.515009, 1064.422352
496.627767, 53.527943, 0.519955, 1058.083986, 1057.991751
486.080394, 50.175422, 0.509956, 1051.573533, 1051.481993
475.598833, 46.846650, 0.499957, 1044.981187, 1044.890965
465.183296, 43.541731, 0.489958, 1038.303855, 1038.214339
454.834794, 40.261023, 0.479959, 1031.538771, 1031.449619
444.552145, 37.004190, 0.469957, 1024.681532, 1024.587947
434.340993, 33.773072, 0.459958, 1017.732081, 1017.639272
424.202232, 30.567996, 0.449961, 1010.687119, 1010.600507
414.129752, 27.387057, 0.439960, 1003.538140, 1003.447292
404.131506, 24.232835, 0.429961, 996.286192, 996.196144
394.206315, 21.105003, 0.419962, 988.925701, 988.836472
384.371902, 18.009249, 0.409980, 981.465091, 981.417441
374.595614, 14.935234, 0.399981, 973.874319, 973.827118
364.880319, 11.883936, 0.389965, 966.148920, 966.062192
355.258736, 8.865811, 0.379966, 958.308646, 958.222493
345.716317, 5.876293, 0.369967, 950.335578, 950.250296
336.254426, 2.915880, 0.359968, 942.223805, 942.139739
326.874242, -0.014988, 0.349969, 933.966755, 933.883584
317.577374, -2.915729, 0.339970, 925.557686, 925.475426
308.366394, -5.785454, 0.329972, 916.990179, 916.911939
299.240861, -8.624223, 0.319973, 908.254324, 908.176992
290.203900, -11.430964, 0.309974, 899.342807, 899.267534
281.256599, -14.205243, 0.299975, 890.245537, 890.171186
272.410341, -16.943381, 0.289986, 880.962417, 880.920552
263.648488, -19.650517, 0.279987, 871.462646, 871.421327
254.973332, -22.325809, 0.269976, 861.733134, 861.657493
246.406361, -24.962391, 0.259977, 851.782160, 851.707575
237.940182, -27.562465, 0.249978, 841.584093, 841.510870
229.577202, -30.125142, 0.239979, 831.122378, 831.050252
221.323324, -32.648436, 0.229984, 820.383068, 820.325603
213.172115, -35.134200, 0.219981, 809.333300, 809.263251
205.136106, -37.578356, 0.209982, 797.962896, 797.894050
