rho,x,y,z,w,energia,pressao,energiamit,pressaomit,(pressao/pressaomit),fermie,fermip,hardgluons,nu,nd,ns,ne,nB,muB,muBGibbs
1.38,2.3881430507,2.4470588141,2.3261547949,0.0589841181,608.5833976415,144.759043979,562.3006417877,98.4762881252,1.4699888342,502.3006417877,158.4762881252,46.2827558538,1.3800069308,1.4846821165,1.2753109527,6.9308144287256E-006,1.38,545.9003200138,545.9003200149
1.37,2.3823606564,2.4414122683,2.3202140319,0.0591203606,603.1324340775,142.5472099107,557.5180124949,96.9327883281,1.4705778341,497.5180124949,156.9327883281,45.6144215827,1.370006979,1.474428179,1.2655648421,0.000006979,1.37,544.2917109409,544.2917109404
1.36,2.3765500557,2.4357387933,2.3142434529,0.0592578833,597.6975835424,140.3440985086,552.746635618,95.3931505842,1.4712177724,492.746635618,155.3931505842,44.9509479244,1.3600070278,1.4641729993,1.2558199729,7.02776778756929E-006,1.36,542.6777073909,542.6777073904
1.35,2.3707109021,2.4300380639,2.3082426827,0.0593967075,592.2789003061,138.1497288678,547.9865654271,93.8573939888,1.4719109811,487.9865654271,153.8573939888,44.292334879,1.3500070773,1.4539165622,1.2460763606,7.07727571815263E-006,1.35,541.0582438326,541.0582438325
1.34,2.3648428422,2.4243097484,2.3022113383,0.0595368551,586.8764393002,135.9641203202,543.2378568537,92.3255378737,1.4726599319,483.2378568537,152.3255378737,43.6385824465,1.3400071275,1.4436588519,1.2363340206,7.12749089262238E-006,1.34,539.433253449,539.4332534481
1.33,2.3589455156,2.4185535088,2.2961490293,0.0596783484,581.4902561374,133.7872924412,538.5005655105,90.7976018143,1.4734672477,478.5005655105,150.7976018143,42.9896906269,1.3300071784,1.4333998526,1.226592969,7.17842861688378E-006,1.33,537.8026681036,537.8026681042
1.32,2.3530185546,2.4127690002,2.290055357,0.0598212103,576.1204071091,131.6192650494,533.774747689,89.2736056293,1.4743357135,473.774747689,149.2736056293,42.3456594201,1.3200072301,1.423139548,1.2168532219,7.23010469175727E-006,1.32,536.1664183015,536.1664183019
1.31,2.3470615841,2.4069558709,2.2839299146,0.0599654643,570.766949216,129.460058217,529.0604603897,87.7535693907,1.4752682896,469.0604603897,147.7535693907,41.7064888263,1.3100072825,1.4128779215,1.207114796,7.28253535361613E-006,1.31,534.5244331547,534.524433155
1.3,2.3410742214,2.4011137623,2.2777722866,0.0601111344,565.4299401721,127.3096922718,524.3577613268,86.2375134266,1.4762681252,464.3577613268,146.2375134266,41.0721788453,1.3000073357,1.4026149562,1.1973777081,7.3357373253724E-006,1.3,532.8766403413,532.8766403415
1.29,2.3350560758,2.3952423081,2.2715820489,0.0602582453,560.1094384219,125.1681878034,519.6667089447,84.7254583262,1.4773385742,459.6667089447,144.7254583262,40.4427294772,1.2900073897,1.3923506348,1.1876419754,7.38972783274541E-006,1.29,531.2229660665,531.2229660661
1.28,2.3290067486,2.389341135,2.2653587684,0.0604068223,554.805503157,123.0355656685,514.987362435,83.2174249466,1.4784832113,454.987362435,143.2174249466,39.818140722,1.2800074445,1.3820849398,1.1779076157,7.44452461337196E-006,1.28,529.5633350203,529.5633350199
1.27,2.3229258328,2.3834098617,2.2591020028,0.0605568912,549.5181943278,120.9118469964,510.3197817482,81.7134344168,1.4797058508,450.3197817482,141.7134344168,39.1984125796,1.2700075001,1.371817853,1.1681746468,7.50014595266989E-006,1.27,527.8976703345,527.897670334
1.26,2.3168129126,2.3774480991,2.2528113002,0.0607084786,544.2475726631,118.7970531948,505.6640276129,80.2135081447,1.4810105672,445.6640276129,140.2135081447,38.5835450502,1.2600075566,1.3615493562,1.1584430872,7.55661068378233E-006,1.26,526.2258935381,526.225893538
1.25,2.3106675637,2.37145545,2.2464861988,0.0608616118,538.9936996817,116.6912059552,501.0201615482,78.7176678216,1.4824017172,441.0201615482,138.7176678216,37.9735381336,1.2500076139,1.3512794306,1.1487129555,7.61393823406105E-006,1.25,524.5479245104,524.5479245095
1.24,2.3044893524,2.3654315086,2.2401262268,0.0610163188,533.7566377173,114.5943272607,496.3882458874,77.2259354308,1.4838839649,436.3882458874,137.2259354308,37.3683918299,1.2400076721,1.3410080569,1.138984271,7.67214861318317E-006,1.24,522.8636814341,522.8636814338
1.23,2.2982778361,2.3593758608,2.233730902,0.0611726281,528.5364499267,112.5064393902,491.7683437877,75.7383332511,1.485462309,431.7683437877,135.7383332511,36.7681061391,1.2300077313,1.3307352156,1.1292570532,7.73126247149738E-006,1.23,521.173080744,521.1730807454
1.22,2.292032562,2.3532880834,2.2272997314,0.0613305694,523.3332003072,110.4275649239,487.1605192461,74.2548838628,1.4871421135,427.1605192461,134.2548838628,36.1726810611,1.2200077913,1.3204608866,1.119531322,7.79130112437185E-006,1.22,519.4760370751,519.4760370747
1.21,2.2857530679,2.3471677442,2.220832211,0.0614901727,518.1469537295,108.3577267555,482.5648371334,72.7756101594,1.4889291415,422.5648371334,132.7756101594,35.5821165961,1.2100078523,1.3101850496,1.1098070981,7.8522865264762E-006,1.21,517.7724632112,517.7724632107
1.2,2.2794388811,2.3410144015,2.2143278254,0.0616514692,512.9777759391,106.2969480927,477.9813631952,71.3005353488,1.490829593,417.9813631952,131.3005353488,34.9964127439,1.2000079142,1.2999076836,1.1000844021,7.91424136048107E-006,1.2,516.0622700261,516.0622700265
1.19,2.2730895183,2.3348276039,2.2077860472,0.0618144906,507.8257335812,104.2452524664,473.4101640766,69.8296829618,1.4928501469,413.4101640766,129.8296829618,34.4155695046,1.1900079772,1.2896287672,1.0903632556,7.97718904820039E-006,1.19,514.345366427,514.3453664266
1.18,2.2667044857,2.3286068901,2.2012063372,0.0619792698,502.6908942272,102.20266374,468.851307349,68.3630768618,1.4949980082,408.851307349,128.3630768618,33.8395868782,1.1800080412,1.2793482786,1.0806436802,8.04115375732551E-006,1.18,512.6216592946,512.6216592942
1.17,2.2602832778,2.3223517885,2.1945881435,0.0621458404,497.5733263878,100.1692061143,464.3048615231,66.9007412496,1.4972809605,404.3048615231,126.9007412496,33.2684648647,1.1700081062,1.2690661954,1.0709256985,8.10616045098672E-006,1.17,510.8910534197,510.8910534206
1.16,2.2538253781,2.3160618166,2.1879309012,0.0623142369,492.4730995327,98.1449041352,459.7708960687,65.4427006711,1.4997074254,399.7708960687,125.4427006711,32.702203464,1.1600081722,1.2587824946,1.0612093331,8.17223493486417E-006,1.16,509.1534514378,509.1534514378
1.15,2.2473302577,2.3097364814,2.1812340323,0.0624844949,487.3902841243,96.1297827047,455.249481448,63.9889800285,1.5022865291,395.249481448,123.9889800285,32.1408026763,1.1500082394,1.248497153,1.0514946076,8.23940385372384E-006,1.15,507.4087537631,507.4087537644
1.14,2.2407973758,2.3033752782,2.1744969447,0.0626566509,482.3249516231,94.1238670845,450.7406891217,62.5396045831,1.5050281771,390.7406891217,122.5396045831,31.5842625014,1.1400083077,1.2382101466,1.0417815457,8.30769477622485E-006,1.14,505.6568585154,505.6568585154
1.13,2.2342261785,2.296977691,2.1677190323,0.0628307425,477.2771745285,92.1271829093,446.2445915892,61.0945999699,1.5079431399,386.2445915892,121.0945999699,31.0325829394,1.1300083771,1.2279214508,1.032070172,8.37713618171205E-006,1.13,503.8976614495,503.8976614494
1.12,2.2276160992,2.2905431914,2.1608996742,0.0630068083,472.2470263902,90.1397561919,441.7612623999,59.6539922016,1.5110431484,381.7612623999,119.6539922016,30.4857639902,1.1200084478,1.2176310406,1.0223605116,8.44775753648409E-006,1.12,502.131055877,502.1310558768
1.11,2.2209665576,2.2840712389,2.1540382342,0.063184888,467.2345818386,88.1616133341,437.2907761846,58.21780768,1.514341004,377.2907761846,118.21780768,29.943805654,1.1100085196,1.2073388902,1.0126525902,8.51958931974198E-006,1.11,500.3569325873,500.356932588
