# Mass density, Pressure, Baryonic density
# Mev/fm^3, Mev/fm^3, fm^-3
2.719075e+15, 1.39904104e+36, 1e+39
2.717292e+15, 1.39759906e+36, 1e+39
2.715509e+15, 1.3963173e+36, 1e+39
2.713726e+15, 1.39487532e+36, 1e+39
2.711943e+15, 1.39359356e+36, 1e+39
2.71016e+15, 1.39215158e+36, 1e+39
2.708377e+15, 1.39086982e+36, 1e+39
2.706594e+15, 1.38942784e+36, 1e+39
2.704811e+15, 1.38814608e+36, 1e+39
2.703028e+15, 1.3867041e+36, 1e+39
2.701245e+15, 1.38542234e+36, 1e+39
2.699462e+15, 1.38398036e+36, 1e+39
2.697679e+15, 1.3826986e+36, 1e+39
2.695896e+15, 1.38125662e+36, 1e+39
2.694113e+15, 1.37997486e+36, 1e+39
2.69233e+15, 1.37853288e+36, 1e+39
2.690547e+15, 1.37725112e+36, 1e+39
2.688764e+15, 1.37580914e+36, 1e+39
2.686981e+15, 1.37452738e+36, 1e+39
2.685198e+15, 1.37324562e+36, 1e+39
2.683415e+15, 1.37180364e+36, 1e+39
2.681632e+15, 1.37052188e+36, 1e+39
2.679849e+15, 1.3690799e+36, 1e+39
2.678066e+15, 1.36779814e+36, 1e+39
2.676283e+15, 1.36651638e+36, 1e+39
2.6745e+15, 1.3650744e+36, 1e+39
2.672717e+15, 1.36379264e+36, 1e+39
2.670934e+15, 1.36235066e+36, 1e+39
2.669151e+15, 1.3610689e+36, 1e+39
2.667368e+15, 1.35978714e+36, 1e+39
2.665585e+15, 1.35834516e+36, 1e+39
2.663802e+15, 1.3570634e+36, 1e+39
2.662019e+15, 1.35578164e+36, 1e+39
2.660236e+15, 1.35433966e+36, 1e+39
2.658453e+15, 1.3530579e+36, 1e+39
2.65667e+15, 1.35177614e+36, 1e+39
2.654887e+15, 1.35033416e+36, 1e+39
2.653104e+15, 1.3490524e+36, 1e+39
2.651321e+15, 1.34777064e+36, 1e+39
2.649538e+15, 1.34648888e+36, 1e+39
2.647755e+15, 1.3450469e+36, 1e+39
2.645972e+15, 1.34376514e+36, 1e+39
2.644189e+15, 1.34248338e+36, 1e+39
2.642406e+15, 1.34120162e+36, 1e+39
2.640623e+15, 1.33975964e+36, 1e+39
2.63884e+15, 1.33847788e+36, 1e+39
2.637057e+15, 1.33719612e+36, 1e+39
2.635274e+15, 1.33591436e+36, 1e+39
2.633491e+15, 1.33447238e+36, 1e+39
2.631708e+15, 1.33319062e+36, 1e+39
2.629925e+15, 1.33190886e+36, 1e+39
2.628142e+15, 1.3306271e+36, 1e+39
2.626359e+15, 1.32934534e+36, 1e+39
2.624576e+15, 1.32790336e+36, 1e+39
2.622793e+15, 1.3266216e+36, 1e+39
2.62101e+15, 1.32533984e+36, 1e+39
2.619227e+15, 1.32405808e+36, 1e+39
2.617444e+15, 1.32277632e+36, 1e+39
2.615661e+15, 1.32149456e+36, 1e+39
2.613878e+15, 1.32005258e+36, 1e+39
2.612095e+15, 1.31877082e+36, 1e+39
2.610312e+15, 1.31748906e+36, 1e+39
2.608529e+15, 1.3162073e+36, 1e+39
2.606746e+15, 1.31492554e+36, 1e+39
2.604963e+15, 1.31364378e+36, 1e+39
2.60318e+15, 1.31236202e+36, 1e+39
2.601397e+15, 1.31108026e+36, 1e+39
2.599614e+15, 1.30963828e+36, 1e+39
2.597831e+15, 1.30835652e+36, 1e+39
2.596048e+15, 1.30707476e+36, 1e+39
2.594265e+15, 1.305793e+36, 1e+39
2.592482e+15, 1.30451124e+36, 1e+39
2.590699e+15, 1.30322948e+36, 1e+39
