# mass density [g cm-3], pressure [erg cm-3], baryon density [1/fm-3]
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV], strangeness fraction [admin]
4.092458e+15, 1.426694e+36, 2e+39
4.091967e+15, 1.426432e+36, 2e+39
4.091473e+15, 1.426171e+36, 2e+39
4.090983e+15, 1.425910e+36, 2e+39
4.090488e+15, 1.425649e+36, 2e+39
4.089998e+15, 1.425387e+36, 2e+39
4.089503e+15, 1.425126e+36, 2e+39
4.089012e+15, 1.424865e+36, 2e+39
4.088521e+15, 1.424604e+36, 2e+39
4.088027e+15, 1.424343e+36, 2e+39
4.087535e+15, 1.424082e+36, 2e+39
4.087043e+15, 1.423821e+36, 2e+39
4.086552e+15, 1.423560e+36, 2e+39
4.086058e+15, 1.423299e+36, 2e+39
4.085566e+15, 1.423038e+36, 2e+39
4.085072e+15, 1.422777e+36, 2e+39
4.084582e+15, 1.422516e+36, 2e+39
4.084089e+15, 1.422255e+36, 2e+39
4.083597e+15, 1.421994e+36, 2e+39
4.083106e+15, 1.421733e+36, 2e+39
4.082612e+15, 1.421472e+36, 2e+39
4.082124e+15, 1.421211e+36, 2e+39
4.081627e+15, 1.420950e+36, 2e+39
4.081140e+15, 1.420689e+36, 2e+39
4.080645e+15, 1.420429e+36, 2e+39
4.080155e+15, 1.420168e+36, 2e+39
4.079660e+15, 1.419907e+36, 2e+39
4.079171e+15, 1.419646e+36, 2e+39
4.078677e+15, 1.419386e+36, 2e+39
4.078184e+15, 1.419125e+36, 2e+39
4.077692e+15, 1.418864e+36, 2e+39
4.077203e+15, 1.418604e+36, 2e+39
4.076709e+15, 1.418343e+36, 2e+39
4.076218e+15, 1.418083e+36, 2e+39
4.075727e+15, 1.417822e+36, 2e+39
4.075235e+15, 1.417562e+36, 2e+39
4.074743e+15, 1.417301e+36, 2e+39
4.074253e+15, 1.417041e+36, 2e+39
4.073758e+15, 1.416780e+36, 2e+39
4.073270e+15, 1.416520e+36, 2e+39
4.072777e+15, 1.416259e+36, 2e+39
4.072285e+15, 1.415999e+36, 2e+39
4.071794e+15, 1.415739e+36, 2e+39
4.071304e+15, 1.415478e+36, 2e+39
4.070812e+15, 1.415218e+36, 2e+39
4.070320e+15, 1.414958e+36, 2e+39
4.069827e+15, 1.414697e+36, 2e+39
4.069336e+15, 1.414437e+36, 2e+39
4.068845e+15, 1.414177e+36, 2e+39
4.068354e+15, 1.413917e+36, 2e+39
4.067862e+15, 1.413656e+36, 2e+39
4.067368e+15, 1.413396e+36, 2e+39
4.066879e+15, 1.413136e+36, 2e+39
4.066387e+15, 1.412876e+36, 2e+39
4.065895e+15, 1.412616e+36, 2e+39
4.065405e+15, 1.412356e+36, 2e+39
4.064914e+15, 1.412096e+36, 2e+39
4.064422e+15, 1.411836e+36, 2e+39
4.063932e+15, 1.411576e+36, 2e+39
4.063438e+15, 1.411316e+36, 2e+39
4.062949e+15, 1.411056e+36, 2e+39
4.062458e+15, 1.410796e+36, 2e+39
4.061965e+15, 1.410536e+36, 2e+39
4.061476e+15, 1.410276e+36, 2e+39
4.060982e+15, 1.410016e+36, 2e+39
4.060493e+15, 1.409756e+36, 2e+39
4.060000e+15, 1.409496e+36, 2e+39
#########################################################
2.835907e+15, 1.354240e+36, 1e+39
2.488133e+15, 1.062343e+36, 1e+39
2.167751e+15, 8.124946e+35, 1e+39
2.017282e+15, 7.027150e+35, 9e+38
1.872926e+15, 6.026494e+35, 9e+38
1.734483e+15, 5.119854e+35, 8e+38
1.601653e+15, 4.303945e+35, 8e+38
1.474238e+15, 3.575066e+35, 7e+38
1.351936e+15, 2.929485e+35, 7e+38
1.280861e+15, 2.580403e+35, 7e+38
1.211490e+15, 2.258974e+35, 6e+38
1.143623e+15, 1.964269e+35, 6e+38
1.077460e+15, 1.695296e+35, 6e+38
1.012699e+15, 1.451073e+35, 6e+38
9.492927e+14, 1.230572e+35, 5e+38
8.872801e+14, 1.032904e+35, 5e+38
8.265399e+14, 8.567739e+34, 5e+38
7.669938e+14, 7.012826e+34, 4e+38
7.085901e+14, 5.652786e+34, 4e+38
6.512378e+14, 4.476275e+34, 4e+38
5.948694e+14, 3.471710e+34, 3e+38
5.394116e+14, 2.627074e+34, 3e+38
4.847771e+14, 1.930319e+34, 3e+38
4.308930e+14, 1.368660e+34, 3e+38
3.776826e+14, 9.289216e+33, 2e+38
3.250424e+14, 5.974824e+33, 2e+38
2.729030e+14, 3.597593e+33, 2e+38
2.211753e+14, 1.999822e+33, 1e+38
2.040040e+14, 1.608490e+33, 1e+38
1.868720e+14, 1.271829e+33, 1e+38
1.697691e+14, 9.928100e+32, 1e+38
1.526969e+14, 7.654706e+32, 9e+37
1.441658e+14, 6.691894e+32, 9e+37
1.356449e+14, 5.833928e+32, 8e+37
1.307026e+14, 5.381217e+32, 8e+37
1.287678e+14, 5.381217e+32, 8e+37
1.275148e+14, 5.292793e+32, 8e+37
1.240262e+14, 5.053059e+32, 7e+37
1.188835e+14, 4.706188e+32, 7e+37
1.137909e+14, 4.374040e+32, 7e+37
1.087183e+14, 4.056409e+32, 6e+37
1.019817e+14, 3.655464e+32, 6e+37
9.525719e+13, 3.280057e+32, 6e+37
8.856868e+13, 2.930078e+32, 5e+37
8.194023e+13, 2.605333e+32, 5e+37
7.541015e+13, 2.305533e+32, 4e+37
6.745042e+13, 1.965279e+32, 4e+37
6.130440e+13, 1.719841e+32, 4e+37
5.397627e+13, 1.444964e+32, 3e+37
4.711738e+13, 1.203935e+32, 3e+37
4.078869e+13, 9.942103e+31, 2e+37
3.613222e+13, 8.472810e+31, 2e+37
2.791282e+13, 6.031589e+31, 2e+37
2.109403e+13, 4.163049e+31, 1e+37
1.681550e+13, 3.076180e+31, 1e+37
1.262416e+13, 2.092235e+31, 7e+36
9.638585e+12, 1.453276e+31, 6e+36
7.529182e+12, 1.041917e+31, 4e+36
5.729450e+12, 7.240239e+30, 3e+36
4.493795e+12, 5.275073e+30, 3e+36
3.426253e+12, 3.751194e+30, 2e+36
2.729939e+12, 2.860383e+30, 2e+36
2.119329e+12, 2.157636e+30, 1e+36
1.758642e+12, 1.781621e+30, 1e+36
